op1	operation	op2	result	correct	dev	label	subject	Weight	Nested	Procedure
9	-	4	3	0	-2	9 - 4 = 3	0	1		TrialProc
3	+	2	4	0	-1	3 + 2 = 4	0	1		TrialProc
5	+	4	9	1	0	5 + 4 = 9	0	1		TrialProc
9	-	2	6	0	-1	9 - 2 = 6	0	1		TrialProc
6	-	7	-1	1	0	6 - 7 = -1	0	1		TrialProc
9	+	6	15	1	0	9 + 6 = 15	0	1		TrialProc
5	+	7	11	0	-1	5 + 7 = 11	0	1		TrialProc
7	-	2	4	0	-1	7 - 2 = 4	0	1		TrialProc
3	-	8	-5	1	0	3 - 8 = -5	0	1		TrialProc
3	+	7	8	0	-2	3 + 7 = 8	0	1		TrialProc
6	+	3	7	0	-2	6 + 3 = 7	0	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	0	1		TrialProc
6	+	9	15	1	0	6 + 9 = 15	0	1		TrialProc
4	-	5	-1	1	0	4 - 5 = -1	0	1		TrialProc
7	+	6	11	0	-2	7 + 6 = 11	0	1		TrialProc
5	+	4	7	0	-2	5 + 4 = 7	0	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	0	1		TrialProc
9	-	6	1	0	-2	9 - 6 = 1	0	1		TrialProc
6	-	8	-2	1	0	6 - 8 = -2	0	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	0	1		TrialProc
9	-	2	7	1	0	9 - 2 = 7	0	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	0	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	0	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	0	1		TrialProc
5	-	4	1	1	0	5 - 4 = 1	0	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	0	1		TrialProc
5	+	4	7	0	-2	5 + 4 = 7	0	1		TrialProc
3	-	5	-3	0	-1	3 - 5 = -3	0	1		TrialProc
8	+	9	16	0	-1	8 + 9 = 16	0	1		TrialProc
3	-	2	0	0	-1	3 - 2 = 0	0	1		TrialProc
6	-	3	3	1	0	6 - 3 = 3	0	1		TrialProc
2	-	4	-3	0	-1	2 - 4 = -3	0	1		TrialProc
8	+	6	12	0	-2	8 + 6 = 12	0	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	0	1		TrialProc
6	-	6	0	1	0	6 - 6 = 0	0	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	0	1		TrialProc
2	-	6	-5	0	-1	2 - 6 = -5	0	1		TrialProc
8	+	8	16	1	0	8 + 8 = 16	0	1		TrialProc
9	-	8	0	0	-1	9 - 8 = 0	0	1		TrialProc
5	+	4	7	0	-2	5 + 4 = 7	0	1		TrialProc
7	-	4	3	1	0	7 - 4 = 3	0	1		TrialProc
2	+	8	10	1	0	2 + 8 = 10	0	1		TrialProc
3	-	8	-7	0	-2	3 - 8 = -7	0	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	0	1		TrialProc
3	-	4	-3	0	-2	3 - 4 = -3	0	1		TrialProc
9	-	4	3	0	-2	9 - 4 = 3	0	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	0	1		TrialProc
7	+	2	9	1	0	7 + 2 = 9	0	1		TrialProc
9	-	9	0	1	0	9 - 9 = 0	0	1		TrialProc
9	+	2	11	1	0	9 + 2 = 11	0	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	0	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	0	1		TrialProc
4	+	3	6	0	-1	4 + 3 = 6	0	1		TrialProc
4	-	3	1	1	0	4 - 3 = 1	0	1		TrialProc
8	+	6	12	0	-2	8 + 6 = 12	0	1		TrialProc
9	-	6	3	1	0	9 - 6 = 3	0	1		TrialProc
2	+	3	5	1	0	2 + 3 = 5	0	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	0	1		TrialProc
7	-	5	1	0	-1	7 - 5 = 1	0	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	0	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	1	1		TrialProc
6	+	7	13	1	0	6 + 7 = 13	1	1		TrialProc
4	-	5	-1	1	0	4 - 5 = -1	1	1		TrialProc
5	+	4	7	0	-2	5 + 4 = 7	1	1		TrialProc
